Bed/Yellow,Bed/Blue,Bed/Green,Bed/White,Bed/Red,Bed/Brown,BookShelf/0,BookShelf/1,BookShelf/2,BookShelf/3,BookShelf/4,BookShelf/5,BookShelf/6,BookShelf/7,BookShelf/8,BookShelf/9,Chair/Yellow,Chair/Blue,Chair/Green,Chair/White,Chair/Red,Chair/Brown,Chair/None,Desk/0,Desk/1,Desk/2,Desk/3,Desk/4,Desk/5,Desk/6,FlowerPot/0,FlowerPot/1,FlowerPot/2,FlowerPot/3,PhotoFrame/0,PhotoFrame/1,PhotoFrame/2,PhotoFrame/3,PhotoFrame/4,PhotoFrame/5,Sofa/Yellow,Sofa/Blue,Sofa/Green,Sofa/White,Sofa/Red,Sofa/Brown,Stand/Yellow,Stand/Blue,Stand/Green,Stand/White,Stand/Red,Stand/Brown
3.48281/2.8704958,2.322479/-0.744380236,-1,-3.83619857/2.7961154,-1,-1,-1,-1,-1,4.3902483/3.1085124,-1.396529/3.17,-1,4.28611565/0.47545433,4.43/-0.0898346454,-1,-1,-1,-1,-1,-1,-1,1.29603314/2.67710757,-1,-1,-1,-1,-1,1.310909/1.91842961,-0.8907442/0.624215,-1,-1,-1,-2.88413262/2.57297516,-1,-1,-1,-1,-1,3.49768639/4.04570246,-3.94033027/4.01595,0.165454388/0.520082533,-1,-1,-0.7122314/1.39776838,-1,-1,-2.94363618/3.12338853,-1,-1,-1,-1,-1
-1,3.40843/1.8886776,-1,-1,-1,-1,-1,-1,-1.44115686/3.17,-1.96181846/2.915124,3.24479342/2.97462845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3.330413/3.12338853,-1,-3.37504125/2.453967,-1,-1,-1,-1.61966968/0.401074529,-1,-1,-1,3.67619848/-0.119586781,-1,-1,3.54231453/4.00107431,-1,-1,-2.660992/4.04570246,-1,-1,-1,-0.637851238/0.341570258,-1,-1.61966968/1.219256,-1,-1,4.226611/-0.06008251,4.16710758/2.08206582,-1,-1,-1,-1
-1,-3.3006618/2.7961154,3.03652859/2.85562,1.11752057/2.85562,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.06628132/0.1481819,2.06958723/0.728346944,-1,-1,-1,-1.426281/1.29363644,-1,-1,2.024959/0.1481819,-1,-1,-1,-1.45603323/0.564710736,-1,-4.074215/3.17,1.66793382/3.12338853,3.958843/3.07876015,-1,-1,3.73570275/3.95644617,-1,-1,-1.02462816/4.120083,-1,-1.91719007/2.76636386,-2.52710748/0.5944629,-1,-1,-1,-1,0.314214826/3.17,-1,-1,-1,-1,-1
2.5009923/-0.5361156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4.43/0.118429765,-4.29735565/0.6837193,-4.43/1.26388431,3.572066/3.019256,-1,-1,-1,-1,-1,-1,-0.756859541/0.1035537,-1,2.45636415/1.76966953,-1,-3.538678/2.49859524,-1,-1.60479379/0.1481819,-1,-1,3.85471058/0.0589254946,-1,-1,-2.199835/3.17,-3.49405026/4.10520649,-4.13371944/4.10520649,-1,-1,3.661322/4.04570246,2.575372/4.06057835,1.4447937/1.78454566,-1,-1,-1,-1,-1,3.63157034/-0.774132133,-1,-1,-1,-1,-1
-1.45603323/2.587851,-1,3.5571897/2.7961154,-1,-1,-1,-1,-1,-4.43/3.13826466,-3.984959/2.85562,2.233223/3.17,-1,4.12248/0.9514874,-1,-1,-3.270909/2.73661184,-1,2.72413254/0.8473555,3.616694/0.163057968,-1,-1,-1,-1,-1,-1,-0.9353721/0.356446326,-1,-1,2.73900867/0.23743777,-1,-1,-1,4.31586838/2.468843,-0.608099/3.17,-1,-1,-1,-1,3.616694/4.07545471,-3.61305785/4.01595,-1,-1.93206644/0.356446326,-1,0.07619834/0.356446326,-1,-1,4.28611565/3.15314054,-1,-2.39322352/3.17,-1,-1,-1
-3.211405/3.17,-1,3.54231453/2.24570274,-1,-1,-1,-1,-1,-1,-1,4.300992/0.936611354,4.43/0.386198461,1.50429749/3.034132,-1,2.29272747/2.94487619,-1,-1,-1,-1,-3.55355382/0.9663635,-1.78330588/1.01099169,-1,-1,-1,-1,-1,-1,1.4447937/0.341570258,-2.69074416/1.070496,-1,-1,-1,4.2414875/3.1085124,-2.39322352/3.17,3.63157034/4.00107431,-1,-1,-1,-3.80644631/4.06057835,-1,-1,-1,2.367107/0.3713224,1.50429749/1.13000023,-1,-1,2.277851/1.18950391,-4.01471138/2.98950434,3.48281/2.94487619,-1,-1,-1
-1.8874383/2.98950434,-1,-1,3.304298/-0.6402478,-1,-1,-1,-1,2.143967/3.17,2.62/2.900248,-1,-4.43/0.4605788,-4.267604/-0.0898346454,-1,-1,-1,-1,-1,-1,2.90264463/1.27876043,-1,-3.03289247/0.01429756,-1,-2.214711/-0.0303306431,-1,0.581983566/0.9514874,-1,-1,3.79520631/1.24900818,-1,-1,-1.2031405/3.17,-3.04776883/0.81760335,-1,-1,-3.99983478/4.10520649,-1,-1,-1,3.5125618/3.971322,0.6414875/1.81429768,1.48942161/0.936611354,-1,-1,-1,-1,4.033224/-0.0154545754,-1,-1,-1,-1,-1
-3.910579/1.53165293,-1,-2.22958684/1.50190091,-1,-1,-1,-1,-1,-3.50892568/3.17,-3.99983478/2.885372,-1,0.864628136/3.17,0.299339056/3.019256,-1,-1,-1,3.49768639/2.49859524,2.56049562/3.15314054,-1,-1,-1,-1,-1,-1,2.575372/2.57297516,2.53074384/-0.119586781,-1,-1,-1,-1,-1,-1,3.42330551/3.17,-1.17338872/3.07876015,-1,-1,-1,-3.00314069/4.10520649,3.42330551/3.95644617,-1,1.59355354/-0.179090783,-1,2.51586747/0.6985948,3.48281/-0.208842918,-1,-1,-3.092397/1.85892534,-1,4.01834774/3.13826466,-1,-1,-1
-1,3.096033/3.034132,-2.67586827/-0.07495858,2.64975262/-0.65512383,-1,-1,-1,-1,1.19190073/3.17,1.65305793/2.885372,-2.765124/3.034132,-1,-1,-2.1849587/3.17,-1,-1,-1,-3.64281/2.00768614,-1,-1,-1,-1,-1,-1,-1,-1,2.322479/1.1002481,-1.24776888/-0.06008251,-2.765124/2.096942,-1,-1,-1,3.914215/3.04900813,3.958843/-0.5361156,-1,-1,-1,-3.86595082/4.03082657,-1,2.90264463/4.04570246,3.45305824/1.01099169,-1.26264477/0.7580991,-1,-1,-1,-1,3.393554/1.97793388,-1,-3.68743873/2.6919837,-1,-1,-1
-1.039504/0.0440496951,-1,3.24479342/3.13826466,3.15553737/-0.6104959,-1,-1,-1,-1,-3.76181817/3.17,-4.25272751/2.885372,1.74231458/3.00438,2.3076036/3.17,-1,-1,0.96876055/2.93,-1,3.20016527/1.41264439,-1.02462816/0.6985948,-1,-1,-1,-1,-1,-1,-2.70561957/1.96305788,2.33735538/1.546529,-1,-1,-1,-1,-1,-1,-3.984959/1.14487624,-1,-1,-1,-1,-1,3.70595026/3.95644617,-0.2510743/4.120083,-3.76181817/1.99281,-1,-1,-1,-1,-1,-2.89900851/2.7961154,-1,4.21173573/-0.0898346454,-1,-1,-1
-3.34528947/2.76636386,-1,-1,2.0398345/-0.3129751,-1,-1,-1,-1,-4.43/0.401074529,-4.13371944/-0.104710713,4.181983/3.17,-1,3.45305824/3.17,-1,-1,-1,-1,-1,-1,-1,-1,3.08115673/1.75479341,-1,-0.8163638/-0.208842918,-1,-1,2.26297569/1.79942167,-1,-1,0.314214826/1.90355361,3.185289/-0.684875965,-1,3.17041373/2.543223,-1.50066137/0.5795868,-1,-1,-1,3.00677681/4.00107431,-1,-0.399834633/4.07545471,-2.30396676/2.67710757,0.314214826/2.72173572,-1,-1,-1,-1,-4.10396767/3.1085124,3.185289/0.0291736275,-1,-1,-1,-1
-2.94949174/0.61135596,-1,-1,1.40644073/2.696102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3.695254/0.594406545,0.457288027/-0.202203378,-1,-1,-1,-3.91559339/-0.38864398,-1,1.23694921/-0.0496610552,0.0/0.0,-1,-1,-1,-1,-1,-4.05118656/0.20457615,-1,-1,-2.23762679/3.8,-1,-1,-3.695254/3.8,-1,-1,-1,-1,2.13525414/-0.117457643,-1,-1,-1,-1,0.0/0.0,-1,-1,-1
-1,-1,0.0/0.0,0.0/0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2.761322/-0.283223271,-1,-1,-1,-1,-1,-1,-1,-1,4.43/2.34983444,3.81008267/2.51347136,3.267107/2.6176033,-1,-1,-1,-1,0.4704132/1.81429768,-1,-1,-1.25520658/1.75479341,-0.630413055/0.9217358,-2.02876/0.9961156,-1,-1,-3.47173524/1.546529,-1,-1.24033046/1.1002481,-1,-1,-1,-1,-3.41966939/2.21595049,3.69851255/1.8886776,-1,-1,-1,-1,-1,-1.2031405/3.8,0.0/3.8,2.06214833/1.93330574,-1,-1,0.604297757/0.609338939,-1,-1,-1,3.69851255/1.27876043,-3.38991761/2.97462845,-1,-1,-1
-3.82876039/2.022562,-1,-0.07999992/1.62090886,-1,-1,-1,-1,-1,-1,-4.0370245/3.17,-0.511405/3.17,-1,-1,-1,-1.27008247/3.17,-1,-1,-1,3.23735476/0.8324794,-1,1.61586761/0.862231553,-1,-1,-1,-1,-1,2.37454557/0.936611354,-1,-1,-1,-1,-1,4.323306/3.17,0.9761982/3.09363627,-1,-1,-1,-1,1.63074374/3.95644617,-1,-1,-1,-1,2.3150413/1.71016526,-1,-1,0.0/0.0,-1,-0.630413055/1.85892534,-1,-1,-1
3.75801682/2.15644622,-1,-1,2.80595016/-0.4022315,-1,-1,-1,-1,-1,-2.058512/3.1085124,-2.66843/3.17,-1,-1,-1,-1.389091/3.09363627,-1,-1,-1,-1.34446287/1.90355361,-1,-1,-0.600661039/1.20438,-1,-1,-1,-1,-1.37421489/1.29363644,-1,-1,-1,-1,-1,0.009256363/1.39776838,-1,-1,-1,-1,-1,-3.96264434/3.9118185,1.83900845/4.13495874,-1,-1,-1,-1,-1,-1,-1,3.19272757/2.60272717,3.83239627/-0.104710713,-1,-1,-1
-3.694876/2.64735532,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.01752114/1.94818187,-1,-1,-1,-3.04033017/0.7580991,-1,-1,-1,0.0/0.0,-1,-1,-1,-1,-1,-1,-2.951074/3.17,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.72826481/-0.208842918,2.74644613/0.386198461,-1,-1,-1,-1,2.62743759/1.96305788,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,2.5828104/2.49859524,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/3.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/3.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,4.010909/1.14487624,-1,-1,-1,-1,-1,-3.888264/3.16801667,-4.37917328/2.885372,-1,-1,4.21917343/3.17,-1,-1,-1,-1,-0.79404974/1.72504139,-0.8981817/3.17,-1,-1,-1,-1,-1,-1,-1,-0.913057566/2.60272717,-1,-1,-1,3.93652868/2.21595049,-1,3.41586757/3.09363627,0.0/0.0,-1,-1,-1,-1,2.77619815/3.8,-1.924628/3.837438,-1.74611545/2.49859524,-1,-1,-0.07999992/2.483719,-1,-1,-1,-1.93950415/0.9217358,3.34148741/1.71016526,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.02909112/1.62090886,-1,-1,-1,-1,-1,-1,-1,-1
0.0/0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3.67999959/2.558099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.89156985/2.49859524,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,3.57950425/2.66223145,-1,-1,-1,-1,-1,-1,-4.23041344/2.94487619,-0.377520561/-0.193966851,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.5378511/1.01099169,-1,-1,-1,-2.35603261/1.14487624,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.214215/0.5944629,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.2849586/-0.164214984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3.251701/-0.5258398,-1,-3.72433686/3.110929,-1,-1,-1,-1,-1,-1,-0.112036467/1.95691884,3.05978656/3.03348446,-1,3.85023761/3.04823351,4.43/3.17,-0.704007864/1.93377519,-1,-1,-1,-1,-1,-1,3.245653/1.60850906,-1,-1,-1,-0.832836866/0.0848385841,-1,0.0704352856/0.9424881,4.14400768/1.56204247,-1,-1,0.8690536/1.61654067,-1,-1,-1,3.78776336/4.024772,-1,-1,-1,-3.97215867/4.040261,-1,-1,0.9687898/0.91151017,-0.8743851/0.9269994,-1,-1,-4.35938/2.44490767,4.08262444/2.377386,-1,-1,-1,-1
