,Bed/Yellow,Bed/Blue,Bed/Green,Bed/White,Bed/Red,Bed/Brown,Chair/Yellow,Chair/Blue,Chair/Green,Chair/White,Chair/Red,Chair/Brown,Sofa/Yellow,Sofa/Blue,Sofa/Green,Sofa/White,Sofa/Red,Sofa/Brown,Stand/Yellow,Stand/Blue,Stand/Green,Stand/White,Stand/Red,Stand/Brown,BookShelf/0,BookShelf/1,BookShelf/2,BookShelf/3,BookShelf/4,BookShelf/5,BookShelf/6,BookShelf/7,BookShelf/8,BookShelf/9,Desk/0,Desk/1,Desk/2,Desk/3,Desk/4,Desk/5,Desk/6,FlowerPot/0,FlowerPot/1,FlowerPot/2,FlowerPot/3,PhotoFrame/0,PhotoFrame/1,PhotoFrame/2,PhotoFrame/3,PhotoFrame/4,PhotoFrame/5
Bed/Yellow,0.9999999999999988,0.4915943680382443,0.4983193229757473,0.5391709742612515,0.44296299644125636,0.5718627694010403,0.47930129326941073,0.5351439940110645,0.47764878428305924,0.5116985096485439,0.5489471829569242,0.4353842239173745,0.4505355620119962,0.5263736854714122,0.5449256855997482,0.4606858606810742,0.4456159485179737,0.5220368976638747,0.5564012127793303,0.5034106210860609,0.5231552474475616,0.3972975526546133,0.45851026186080096,0.44303655353791,0.5051459331649654,0.49082336358501444,0.4710144511943597,0.4778407475884808,0.4607439769383993,0.46881813383926374,0.48391860388899444,0.47764878428305924,0.47938884488093103,0.46068586068107414,0.4505355620119962,0.5150688990974349,0.505053367880825,0.5311354178595437,0.5302132836190795,0.4753743993203744,0.5068783637872858,0.40003556029699844,0.46825099475968146,0.5337837837837833,0.5150760942356496,0.4592163645585766,0.5294365215047323,0.503536925668278,0.5016977977548925,0.4765207992019572,0.5427735692268448
Bed/Blue,0.4915943680382443,0.9999999999999992,0.4899419453190158,0.5537272350264533,0.4952818755547605,0.4998174849364271,0.4542155014626865,0.4797338170437363,0.42450437620719644,0.49730920444538895,0.5034350777751472,0.4878792856642532,0.4753686290670988,0.5200803559473632,0.49040213216142514,0.5198655147938092,0.469872739256804,0.4791703772765046,0.5301149854609081,0.49569193445695303,0.5165647479947924,0.42005918171074097,0.44767968587711005,0.546819196470287,0.45408346657155707,0.5168600131824844,0.4469884124063765,0.4824636832322794,0.4589304087834789,0.48000317358519273,0.46898641594264046,0.4532843339161589,0.5521290917712474,0.554067193398665,0.4469884124063765,0.5353476507471095,0.4829427746716013,0.4921862355069194,0.4813302734264573,0.48722797497651693,0.526834646284342,0.42964485150516385,0.4727811530286097,0.4775488146657231,0.45887582499835644,0.4636591160623928,0.39412013276830565,0.4621895113637616,0.4580305076907764,0.48830607449060914,0.5233616525736708
Bed/Green,0.4983193229757473,0.4899419453190158,0.9999999999999991,0.5117701235467443,0.508364047188895,0.4663149841357556,0.48471504769045537,0.49334429666174173,0.4898415923215283,0.5298478023808028,0.5020465201816932,0.5017208595489131,0.4150043985011287,0.5116511631489542,0.47023992461296243,0.4853737513923661,0.4956100263332099,0.472983769840402,0.5281247155334866,0.521523156589318,0.5148792782205739,0.47105835429844795,0.5331305542917824,0.5174383017480932,0.4898412572472338,0.5342289894241095,0.4898412572472338,0.46262785406683193,0.5293500836724165,0.46724227010706987,0.5213967374385559,0.5243374791047345,0.5165161613474398,0.5247283798836391,0.5374647128129372,0.5390044486766034,0.530201342281879,0.5484832192268412,0.45485204222164305,0.5395787890001437,0.5116511631489541,0.5182981688909025,0.5200115559407548,0.525255502596058,0.5133447411210016,0.4707491407944972,0.4278299172241175,0.4953269005666281,0.4864975918358424,0.4749190440843623,0.5409491150925021
Bed/White,0.5391709742612515,0.5537272350264533,0.5117701235467443,1.0000000000000007,0.49730983618940444,0.5432512781572743,0.44862495160467314,0.5020149997019004,0.45375101590162814,0.5366007635139873,0.533752376028425,0.5299263324351969,0.49932671236921644,0.5185580382410344,0.4987230625600587,0.5501719556083912,0.5153471216826172,0.5087992938480511,0.5285632955738963,0.5537329763155103,0.5653155410976096,0.47502852574451,0.48176685558046506,0.5129359310192316,0.505811474867518,0.5398874608103609,0.5122962373658195,0.5122962373658194,0.4924034903808526,0.5184813454892673,0.6025890932578915,0.5129359310192317,0.5292533177814471,0.5376680475263823,0.505811474867518,0.5015313971540455,0.5565500093570848,0.5349568784384572,0.5355644389732046,0.5393996721302825,0.5247313482200944,0.5256956391358203,0.5210788604500739,0.5263335701121741,0.5083696199512916,0.523488970457317,0.5097442948378472,0.515617471550567,0.5216802886290146,0.5036856033200374,0.5653155410976096
Bed/Red,0.44296299644125636,0.4952818755547605,0.508364047188895,0.49730983618940444,0.9999999999999989,0.45184805705753184,0.5251050315105037,0.5249198404062254,0.5157106231293966,0.49507377148833687,0.46188021535170065,0.5203177813676041,0.4814250875707753,0.5163977794943221,0.5412806568272486,0.5621995873961275,0.49395523030667987,0.4512014698999876,0.4671457034214358,0.5066228051190219,0.5066644459200718,0.5103103630798286,0.5520524474738834,0.5088344814876713,0.46108318246215085,0.5067852362886716,0.43396064231731846,0.5221088977880239,0.4894441291460704,0.43788026951985726,0.532647238018537,0.47445377327904487,0.5855754013998858,0.5229763603684906,0.4543025474259428,0.5052282887189525,0.5284310490516146,0.5402954672391685,0.433333333333333,0.5049858935536435,0.522852751738001,0.5496809281819934,0.5514980601736292,0.4966554808583784,0.4983416206388216,0.49524276146281654,0.47614826652752984,0.49367304987083915,0.538748023761179,0.4933333333333333,0.5196558419693045
Bed/Brown,0.5718627694010403,0.4998174849364271,0.4663149841357556,0.5432512781572743,0.45184805705753184,0.9999999999999984,0.5016516837056424,0.5082514499967913,0.5326236412913075,0.6071806161708354,0.521749194749951,0.47108153033119227,0.5186604097959038,0.5312500000000001,0.5240927423790368,0.5886547571173817,0.5403830945624493,0.5477225575051662,0.5223883712235663,0.5096471914376256,0.5031546054266276,0.5138701197773615,0.5144778906814169,0.49267686819445955,0.4661378366520148,0.5838621941249451,0.52522573143889,0.5908789478687512,0.560066283955964,0.48454371185234874,0.5031546054266277,0.49933466371060076,0.5358281452501685,0.5253585466746524,0.47926847993798705,0.5449151450798766,0.5375575511564962,0.5477571348580308,0.48412291827592696,0.571500571500857,0.5625,0.49375208194098064,0.5404192632877275,0.5328721260327877,0.5018178873386041,0.5426110500094486,0.481671647242783,0.5031546054266277,0.4564354645876386,0.4970328627632851,0.5597594985371234
Chair/Yellow,0.47930129326941073,0.4542155014626864,0.4847150476904549,0.4486249516046734,0.5251050315105039,0.5016516837056426,1.0,0.5582542771382268,0.4332835888138615,0.49913419848462154,0.4783341493772121,0.4754763504855647,0.46999201581410505,0.5084307605124756,0.45060726252083894,0.5492350363810896,0.47159704868175845,0.4809288065886702,0.4836912437199343,0.5458801179124972,0.48435116765763864,0.4287464628562721,0.5000525182502369,0.4260621956669638,0.4415076512193108,0.46485994798630476,0.44862874236800937,0.4486287423680094,0.5006680029698933,0.4306684073244155,0.48435116765763864,0.46216916140145226,0.48657535058193696,0.47371521887868967,0.4628709246654066,0.5238794299869758,0.5057896149813443,0.4339122692405742,0.4410882264688233,0.433915582167566,0.4609772228646445,0.4451319072597259,0.46753795710326507,0.4440585511172482,0.4954506709601764,0.4722041616991157,0.44034755759456723,0.48435116765763864,0.45971135923917006,0.5111022306702238,0.49799486252123404
Chair/Blue,0.5351439940110646,0.4797338170437359,0.493344296661742,0.5020149997019,0.5249198404062254,0.5082514499967913,0.5582542771382268,1.0000000000000004,0.4523201191712896,0.44737810298961234,0.47952944804036346,0.5387968964445254,0.47982831671241377,0.5082514499967914,0.5329062697376266,0.521241773963652,0.5178918038835925,0.47655299981686716,0.5508463194667621,0.4918270709524662,0.5244064222843647,0.46114679330365704,0.47456597708179116,0.44546678403233064,0.4325212995717532,0.49871062596197796,0.49334460732403107,0.47982831671241377,0.5068267647393445,0.4433553537184294,0.4855615021151525,0.527706805699838,0.5387383283812572,0.5016952074400151,0.513619043241457,0.4908044020973207,0.47334385220248226,0.5131620992985864,0.4451851811040139,0.45755543380593855,0.5082514499967914,0.5148542890985149,0.47682119205298024,0.48831889453509647,0.5033112582781458,0.5650422892384528,0.4745689976113897,0.5503030357305061,0.503401056144578,0.4850525107551196,0.5244064222843647
Chair/Green,0.47764878428305924,0.42450437620719644,0.4898415923215283,0.45375101590162814,0.5157106231293966,0.5326236412913075,0.43328358881386125,0.4523201191712899,1.0000000000000009,0.5310547906336833,0.5756416230362331,0.4321213311629177,0.50354575484197,0.5259658457751661,0.4629708431165444,0.519181094523588,0.48962620809978463,0.5001085422784955,0.5429002857547925,0.5157552714670529,0.5359840761496428,0.5193270179910197,0.4982237954520134,0.44680851063829813,0.4406025354867237,0.5293256303781455,0.4266151534077801,0.46158360860513914,0.5244915050991066,0.48748337943525233,0.48238566853467846,0.5035460992907804,0.5110556933226158,0.49895325967201964,0.4406025354867237,0.4683332477834773,0.5036399470348107,0.5638283679815396,0.5157106231293966,0.4802672176198298,0.4793612771621768,0.5191373094849674,0.5140001354219204,0.491493676581119,0.4660267894492078,0.497361698169977,0.46178947199021936,0.4488866637753257,0.514000446230676,0.43319692342869326,0.49578527043841947
Chair/White,0.5116985096485439,0.49730920444538895,0.5298478023808028,0.5366007635139873,0.49507377148833687,0.6071806161708354,0.49913419848462204,0.44737810298961256,0.5310547906336833,0.9999999999999984,0.5208475548772493,0.4951189816406153,0.5035371840692253,0.5240927423790368,0.5294117647058825,0.5372421491882609,0.5462547526761394,0.4667600280093366,0.5016313257045505,0.5667782511207257,0.5016725562413975,0.44464864589994363,0.49878470419522913,0.4833960273716862,0.5438201587947633,0.5335511537766944,0.47668186758553327,0.5505339879156863,0.5916163477719996,0.46109407761689447,0.5338310534363588,0.44935405361311664,0.5033481049337416,0.5372421491882609,0.4699680384646103,0.5129151195709852,0.5430939974403228,0.5601473931032763,0.4620688533891144,0.5324787587361257,0.556049616914344,0.45901886062936953,0.5197480902379322,0.48511676888758065,0.5000108209883906,0.5355284537561772,0.48553038055886133,0.559557851192328,0.5134360308102702,0.5214777059677151,0.5273993539973665
Chair/Red,0.5489471829569242,0.5034350777751472,0.5020465201816932,0.533752376028425,0.46188021535170065,0.521749194749951,0.4783341493772121,0.47952944804036296,0.5756416230362331,0.5208475548772493,0.9999999999999978,0.5071783045165654,0.4763008447174814,0.5403830945624493,0.4700331592794689,0.5158150933325383,0.5493827160493825,0.5054502643838302,0.5254848803416634,0.5064914509317237,0.5375419971091002,0.49104637582399147,0.4913717616152505,0.48962620809978463,0.4828255138232003,0.5740740740740737,0.515448859351795,0.5023995211403571,0.5565983479249934,0.5484244418351709,0.5000390670782328,0.48962620809978474,0.5820461331342573,0.5032342373975983,0.4828255138232004,0.5046177733442264,0.4956100263332099,0.5382489518395541,0.5260302452616591,0.5174763378695475,0.5403830945624493,0.5034400826603993,0.5242855298574635,0.5295725764996211,0.5242855298574635,0.5204401086955257,0.47868913158629367,0.5187905320936665,0.5508111855464821,0.5260302452616591,0.5125400437551886
Chair/Brown,0.4353842239173745,0.4878792856642532,0.5017208595489131,0.5299263324351969,0.5203177813676041,0.47108153033119227,0.4754763504855647,0.538796896444525,0.4321213311629177,0.4951189816406153,0.5071783045165654,1.000000000000002,0.48110249704135194,0.5430523196873465,0.4884281845914178,0.49033511117442846,0.513680590471906,0.4641665259227111,0.5401921024607188,0.5268540258567505,0.5530626302076463,0.4413898072545964,0.5036073393532794,0.48787892228071356,0.467356711411599,0.5331874483379277,0.4742296042264755,0.4811024970413519,0.528318054576218,0.4931534422970144,0.5267263144834727,0.4600001267218156,0.5283182985885497,0.49696126132543433,0.5223398539306107,0.47320860132514286,0.501720859548913,0.52187515147163,0.5135604075836092,0.5052092752936023,0.5757663148492348,0.5101705328640023,0.4512424007722897,0.4966101304057553,0.5051220904167422,0.5284011241613775,0.46822000271485564,0.44771736731095185,0.5051223958570678,0.5203177813676044,0.5201422355524297
Sofa/Yellow,0.4505355620119962,0.4753686290670988,0.4150043985011287,0.49932671236921644,0.4814250875707753,0.5186604097959038,0.46999201581410477,0.47982831671241366,0.50354575484197,0.5035371840692253,0.4763008447174814,0.48110249704135194,1.0000000000000013,0.5120950881529177,0.47668186758553327,0.5119698957772224,0.5480722048803895,0.47946330148538396,0.5152836513798107,0.5085916559073457,0.5087192603994402,0.5328751623948311,0.4772664363136452,0.49655206380249817,0.49655172413793147,0.5023995211403571,0.45517241379310386,0.45517241379310386,0.5689272017750081,0.40295014033029425,0.5087192603994402,0.4895583727630263,0.4843226507925057,0.4920230167209671,0.4620689655172418,0.5073606713737087,0.4898412572472338,0.5301367107448939,0.4543025474259429,0.48693726255450154,0.5514870180108344,0.5119267188936727,0.44603759018337047,0.48466704398260185,0.5406516244646915,0.5103368137990435,0.41923451164900033,0.4822922858332354,0.4794633014853841,0.44752191238973477,0.5087192603994399
Sofa/Blue,0.5263736854714122,0.5200803559473632,0.5116511631489542,0.5185580382410344,0.5163977794943221,0.5312500000000001,0.5084307605124754,0.5082514499967913,0.5259658457751661,0.5240927423790368,0.5403830945624493,0.5430523196873465,0.5120950881529177,0.9999999999999984,0.5368754921931597,0.5570066518960171,0.5714395942499463,0.5607635707790986,0.554241320688418,0.516017781330596,0.49057574029096207,0.5006939628599932,0.5144778906814168,0.5392814368074488,0.52522573143889,0.5714395942499463,0.49896444486694547,0.5186604097959038,0.5416025603090642,0.5114628069552571,0.5534700659692903,0.5126502547428835,0.5109059059362071,0.5000400624975607,0.4923991232239593,0.5325307099644249,0.45983838713387015,0.5723754330538973,0.5486726407127172,0.5143505143507712,0.55,0.506576811342045,0.5018178873386041,0.5133768043486613,0.5082514499967913,0.5363016191953853,0.49543369430686257,0.5346017682657918,0.5412020508682001,0.5099428072506431,0.5408912008336249
Sofa/Green,0.5449256855997482,0.49040213216142503,0.47023992461296243,0.49872306256005877,0.5412806568272488,0.5240927423790365,0.45060726252083894,0.5329062697376266,0.4629708431165447,0.5294117647058825,0.47003315927946887,0.4884281845914178,0.47668186758553355,0.5368754921931592,1.0000000000000002,0.5372421491882605,0.5335511537766944,0.4667600280093366,0.5342047884126379,0.5472341734958729,0.5016725562413973,0.4918083507681195,0.4782867026529595,0.49701281687511417,0.44311272198091856,0.5208475548772493,0.5169648423110715,0.49682335494830265,0.5286784384345526,0.4473300752999726,0.540262752875351,0.5106296063785419,0.5224625899312254,0.4984053673192296,0.5236786714319945,0.5065828341441833,0.47023992461296243,0.5853225568382548,0.49507377148833737,0.4870232549415788,0.5560496169143436,0.48524850980819095,0.5394853594874738,0.511698509648544,0.5131690004880848,0.4968155534846465,0.4784937083768489,0.5917163483872891,0.5201040312104036,0.45546786976927045,0.5466944523143432
Sofa/White,0.46068586068107426,0.5198655147938093,0.48537375139236627,0.5501719556083909,0.5621995873961276,0.5886547571173812,0.5492350363810896,0.521241773963652,0.5191810945235884,0.5372421491882604,0.5158150933325382,0.4903351111744284,0.5119698957772223,0.5570066518960166,0.5372421491882605,1.0000000000000004,0.5283959492674781,0.4886644585793686,0.516139774092509,0.5548502571494474,0.5286731445191821,0.5004004806408975,0.5277986629117477,0.512438482906399,0.45877821829387433,0.4969438094301282,0.5252678151480591,0.4787250973501298,0.5360362742715153,0.47708547839722626,0.5477818123933694,0.46524020158607277,0.5552741231208355,0.5641025641025643,0.525267815148059,0.5581281216327547,0.5772012178720031,0.5298032943381257,0.46414151982703566,0.48231760589144307,0.5633362729402895,0.5325124418027845,0.5668504291854716,0.5133356733303398,0.5082107296145607,0.5303541444512949,0.39721495475336804,0.5159340326030573,0.5480966224606432,0.5164391558638848,0.5159340326030573
Sofa/Red,0.4456159485179737,0.469872739256804,0.4956100263332099,0.5153471216826172,0.49395523030667987,0.5403830945624493,0.47159704868175845,0.517891803883592,0.48962620809978463,0.5462547526761394,0.5493827160493825,0.513680590471906,0.5480722048803895,0.5714395942499463,0.5335511537766944,0.5283959492674782,0.9999999999999979,0.5313707907624882,0.5824651685714825,0.53181602347831,0.5312915087706224,0.5434246559118839,0.5245725563189838,0.48962620809978463,0.5023995211403571,0.5493827160493825,0.515448859351795,0.587220219514703,0.6055300708194982,0.5149839270891239,0.550042973786056,0.48962620809978474,0.526318311876722,0.5409768052024182,0.5219735284575139,0.4984638980595407,0.5406654832725929,0.5382489518395541,0.5388602512436508,0.5868938953886332,0.5155378948124515,0.541676038305493,0.47313572206649146,0.5231143743471866,0.5051043519358489,0.5267104714508934,0.4581738830897383,0.625048833847791,0.5054502643838306,0.5003702332976757,0.5625439504630119
Sofa/Brown,0.5220368976638747,0.4791703772765046,0.472983769840402,0.5087992938480511,0.4512014698999876,0.5477225575051662,0.4809288065886702,0.47655299981686705,0.5001085422784955,0.4667600280093366,0.5054502643838302,0.4641665259227111,0.47946330148538396,0.5607635707790986,0.4667600280093366,0.4886644585793685,0.5313707907624882,1.0000000000000007,0.5184126315077195,0.4984736841420381,0.5052467333920877,0.49487165930539356,0.43915503282684015,0.47927068635022485,0.5068612044274059,0.5119303959784947,0.49316225295639493,0.4589148742788675,0.5393598899705933,0.42828377740231993,0.4855617957274609,0.4723247343741347,0.47451643041585934,0.4754573110501964,0.4589148742788675,0.5168178647384394,0.48649759183584207,0.4944132324730438,0.5387480237611793,0.529987309440192,0.4955585044094361,0.5151221963699316,0.5235370983903611,0.4677992979065891,0.4832650138987948,0.5266007743818186,0.49534006609204007,0.4790001498392521,0.5238095238095237,0.4916075716820758,0.5118083792802965
Stand/Yellow,0.5564012127793303,0.5301149854609081,0.5281247155334866,0.5285632955738963,0.4671457034214358,0.5223883712235663,0.4836912437199343,0.5508463194667623,0.5429002857547925,0.5016313257045505,0.5254848803416634,0.5401921024607188,0.5152836513798107,0.554241320688418,0.5342047884126381,0.5161397740925094,0.5824651685714825,0.5184126315077195,1.0,0.5064935064935066,0.5577381460442276,0.5103545438827409,0.46992084755675634,0.46146524289157365,0.5018996604348805,0.5571405960248962,0.49520766496241553,0.5018996604348805,0.5081391846066426,0.5144715455714829,0.5128626630291746,0.5089690178951181,0.48900964692182586,0.48388103821172757,0.5018996604348805,0.5049354059305194,0.5281247155334866,0.5457791242071347,0.5526794237662057,0.5372196417143112,0.5096471914376256,0.47713437437460204,0.5115001537905651,0.4835391492010849,0.4918270709524666,0.5144933910331841,0.4909652044248383,0.5577381460442276,0.5250589472962801,0.4737252203710336,0.5769704959078215
Stand/Blue,0.5034106210860609,0.49569193445695303,0.521523156589318,0.5537329763155103,0.5066228051190219,0.5096471914376256,0.5458801179124972,0.4918270709524666,0.5157552714670529,0.5667782511207257,0.5064914509317237,0.5268540258567505,0.5085916559073457,0.516017781330596,0.5472341734958731,0.5548502571494477,0.53181602347831,0.4984736841420381,0.5064935064935066,1.0,0.5192734463170394,0.5036393525158628,0.5516462123492357,0.48182400360737837,0.5152836513798107,0.5381471666149564,0.4818236740174854,0.4885156694899504,0.5269591544068887,0.5144715455714829,0.4936303131655806,0.4953965107512482,0.5398158440046129,0.49033278538788394,0.535359637797206,0.5680523316718344,0.5281247155334866,0.52068583114014,0.4539866695222404,0.4919119610878031,0.5478707307954477,0.470598287054402,0.4590385995556354,0.543153564856013,0.5115001537905652,0.4823375540936102,0.51200657032876,0.5000410964534452,0.5782294736047642,0.48688425427022897,0.4808087465898512
Stand/Green,0.5231552474475616,0.5165647479947924,0.5148792782205739,0.5653155410976096,0.5066644459200718,0.5031546054266276,0.4843511676576386,0.5244064222843645,0.5359840761496428,0.5016725562413975,0.5375419971091002,0.5530626302076463,0.5087192603994402,0.49057574029096207,0.5016725562413973,0.5286731445191821,0.5312915087706224,0.5052467333920877,0.5577381460442276,0.5192734463170394,0.9999999999999984,0.5038529466446287,0.47065803652096744,0.4555864647271963,0.4558653112670307,0.5000390670782328,0.5021125167578889,0.5153260040409913,0.5326328349457007,0.5011452669729903,0.5126582278481012,0.48238566853467846,0.48904984004620344,0.5031949206869324,0.5153260040409913,0.504734130679691,0.4888094413486462,0.5264394298881925,0.5196558419693044,0.5431559397142556,0.5220229031301262,0.5162257329196669,0.47908734875361714,0.4969974850751835,0.4855615021151525,0.501589829131232,0.5262572393896101,0.5506329113924049,0.4593152121746252,0.5391429360431534,0.5443037974683542
Stand/White,0.3972975526546133,0.42005918171074097,0.47105835429844795,0.47502852574451,0.5103103630798286,0.5138701197773615,0.4287464628562719,0.46114679330365704,0.5193270179910197,0.44464864589994363,0.49104637582399147,0.4413898072545964,0.5328751623948311,0.5006939628599932,0.49180835076811946,0.500400480640897,0.5434246559118839,0.49487165930539356,0.5103545438827409,0.5036393525158628,0.5038529466446287,0.9999999999999983,0.4577918879779465,0.4982732199643567,0.4705910525045262,0.5499719409228705,0.4359887692321346,0.5397956190493095,0.5125118049063362,0.43981587422535334,0.5767790310274041,0.49827321996435664,0.5057041773367563,0.540432519092169,0.4636705958500479,0.48953778124247316,0.436923690943488,0.4930493313022981,0.4762896722078399,0.5087055749715823,0.48751780594262495,0.5339788445554268,0.5086177867319747,0.48634700411168175,0.4272389408548588,0.505455026829494,0.44970061121888605,0.5038529466446287,0.4673787893439828,0.4694855340334426,0.5104825906794268
Stand/Red,0.458510261860801,0.4476796858771103,0.5331305542917824,0.4817668555804648,0.5520524474738833,0.5144778906814169,0.5000525182502369,0.47456597708179116,0.4982237954520137,0.4987847041952292,0.4913717616152505,0.5036073393532792,0.4772664363136455,0.5144778906814169,0.4782867026529595,0.5277986629117477,0.5245725563189836,0.4391550328268398,0.4699208475567562,0.5516462123492356,0.4706580365209671,0.4577918879779467,1.0,0.4697538642833272,0.5193781806942612,0.4780914437337572,0.43515469193302986,0.4983223085039534,0.44082763562304506,0.402888124148268,0.5244475264090778,0.47687134707549883,0.5328598904230364,0.4871987657646901,0.46322918818677367,0.5428202395316737,0.5608256480212255,0.48688425427022886,0.4899465471330714,0.441248751646385,0.5077963596336063,0.5621187095347587,0.5227103515683496,0.5071401381187648,0.46081044151420303,0.49913482927761926,0.4928602798068185,0.4639343502849533,0.446125747633615,0.49684720272649496,0.4908290952290085
Stand/Brown,0.44303655353791,0.546819196470287,0.5174383017480928,0.5129359310192316,0.5088344814876714,0.49267686819445955,0.4260621956669638,0.44546678403233064,0.4468085106382979,0.4833960273716864,0.48962620809978474,0.4878789222807132,0.49655206380249794,0.5392814368074489,0.49701281687511417,0.512438482906399,0.48962620809978474,0.4792706863502249,0.46146524289157365,0.48182400360737837,0.4555864647271963,0.4982732199643571,0.4697538642833272,1.0000000000000004,0.5035457548419697,0.5094759192389652,0.44060253548672346,0.48955837276302605,0.47859849840293456,0.49465225266224133,0.49578527043841947,0.5177304964539008,0.4911444325438121,0.5394089293751567,0.4615836086051388,0.4881219765630605,0.5450350111746579,0.5179353612853677,0.48132991492077026,0.52085317967221,0.4860190726783182,0.49864504726845554,0.5071468002829611,0.4914936765811189,0.45917345431024853,0.5175250102579487,0.42513951389575777,0.5091848723421606,0.514000446230676,0.4607014899955944,0.5158846732940311
BookShelf/0,0.5051459331649654,0.45408346657155707,0.4898412572472338,0.505811474867518,0.46108318246215085,0.4661378366520148,0.4415076512193105,0.43252129957175317,0.4406025354867237,0.5438201587947633,0.4828255138232003,0.467356711411599,0.49655172413793147,0.52522573143889,0.4431127219809183,0.4587782182938748,0.5023995211403571,0.5068612044274059,0.5018996604348805,0.5152836513798107,0.4558653112670307,0.4705910525045262,0.5193781806942609,0.50354575484197,1.0000000000000013,0.5023995211403571,0.5034482758620694,0.4689655172413797,0.5107414652298368,0.4877817488208825,0.5087192603994402,0.4965520638024981,0.4908675514788909,0.5518636538897332,0.4482758620689659,0.5008560473817382,0.5306613620178366,0.5172065470681891,0.5153282627518158,0.5736521175299608,0.5120950881529177,0.5253984746540327,0.4663120261007964,0.5051459331649654,0.5068608979356483,0.5302200662847205,0.49151632400227624,0.49550577311633776,0.506861204427406,0.5221088977880238,0.5153260040409912
